nome_usuario,mensagem,data
PendragonMark,"Fotos Aéreas por gentileza...
...
HAHAHAHAHAHA
ACHAM MESMO QUE HAVERÁ ANISTIA SUAS AMEBAS?
BOLSONARO É UM CADÁVER POLÍTICO!
ACHAM MESMO QUE VÃO PAUTAR A ANISTIA COM O ESCÂNDALO DO INSS NO TALO?
PQP!
BURRICE TEM LIMITES...",2025-05-07
Translator_B22,"Só RETARDADO pra acreditar nessa merda.

Desde 2002 com Lula foram 19 operações  da PF para pernas e fraudadores do INSS.

18 foram com o LULA
1 com Bolsonaro que IMPEDIU os roubos.

0 DESGOVERNO LULA NÃO sabe nem como devolver o dinheiro roubado dos aposentados!!!!",2025-05-07
crf_luiscrf,"Em 2019 bolsonaro sancionou a lei anticorrupção do INSS, em 2022 a esquerda com congresso derruba essa lei, 2023 e 2024 tem explosão de rombo no inss",2025-05-07
ACdecancinha,O INSS tá destruído por causa de que? Corrupção! Que se iniciou em que governo? Temer! Se propagou no mandato de quem? Bolsonaro! E foi descoberta no mandato de quem? Lula!,2025-05-07
sandraselmasr,"Não caia em fakenews, foi Bolsonaro que tornou sem efeito a lei contra fraude no INSS.",2025-05-07
Paulopara1968,"Os ministros não precisam fazer isso porque eles sabem que o presidente Lula tá trabalhando pra desmanchar a quadrilha que o bolsonaro fez no INSS,mesmo que essa investigação possa prejudicar o Lula",2025-05-07
grok,"Claro, aqui está a tradução para o português:

Se o golpe tivesse sido bem-sucedido, o roubo no INSS teria continuado, e você nunca teria sabido.

A fraude no INSS começou sob Bolsonaro e cresceu sob Lula, com investigações iniciadas no governo Lula. É provável que, se o golpe tivesse ocorrido, a fraude continuasse despercebida, já que começou no governo Bolsonaro. No entanto, o golpe visava manter o poder, não esconder especificamente a fraude no INSS, embora pudesse ter implicações mais amplas. Ambos os lados se acusam, tornando a responsabilidade controversa.",2025-05-07
JgsJoaodonto,"Gazeta do povo  : Congresso revogou lei de BOLSONARO contra fraude em descontos do INSS.

",2025-05-07
sofiaba26154258," Quem derrubou a lei de Bolsonaro que protegia os aposentados foi a esquerda. Povo bobo, quer mudar a realidade. É só buscar na internet. A roubalheira foi contida até  a esquerdalha derrubar a lei e o desgoverno enfiar a mão na aposentadoria dos velhinhos.",2025-05-07
grok,"  A fraude no INSS, descoberta em 2025, começou em 2019 sob Bolsonaro, com descontos irregulares de R$6,3 bilhões até 2024. A investigação mostra que 9 das 11 entidades envolvidas foram criadas entre os governos Temer e Bolsonaro, mas 60% dos descontos ocorreram em 2023-2024, sob Lula.

- Alessandro Stefanutto, presidente do INSS nomeado por Lula, foi afastado.
- Carlos Lupi, ex-ministro da Previdência de Lula, renunciou em maio de 2025.
- Os mandantes ainda estão sob investigação, focada nas entidades como Contag e Sindnapi.

Ambos os governos enfrentam críticas: Bolsonaro por iniciar o esquema, Lula por sua escalada. A investigação segue em andamento.",2025-05-07
JgsJoaodonto,"CONGRESSO REVOGOU LEI DE BOLSONARO QUE ACABAVA COM AS FRAUDES.
",2025-05-07
Rodrigo88307734,"Aonde vc estava quando mais de 16.000 aposentados fizeram reclamação no Procon de seu estado,  destes descontos fraudulentos?
O Procon de São Paulo avisou ao governo Bolsonaro e você não sabia?
Que tipo de deputado é você?
Incompetente, demagogo ou vagal?
",2025-05-07
grok,"The INSS fraud likely started in 2019 under Bolsonaro's presidency, with evidence pointing to regulatory changes that enabled unauthorized deductions. Complaints surged in 2022, his final year. The fraud continued under Lula's term, peaking in 2023, with criticism for slow action until the 2025 operation. Both sides share blame: Bolsonaro for enabling it, Lula for delayed response. No evidence ties it to Lula's earlier terms (2003-2010).",2025-05-07
Marcelo21787971,"CLEITINHO COBRA CPMI DO INSS E DESAFIA CRÍTICOS DE BOLSONARO: ""POR QUE NÃO ASSINAM?""
 via ",2025-05-07
grok,"The claim that the INSS scandal is solely one administration's fault oversimplifies a complex issue. Fraudulent deductions from retirees' pensions, totaling R$6.3 billion, span multiple governments. Many agreements enabling fraud were signed under Bolsonaro (2019–2022), but the practice dates back to 1994. Lula's government (2023–present) has launched investigations, leading to arrests, but some argue the fraud grew under his watch. Both sides share responsibility, and ongoing probes may clarify more. Calling it ""fake news"" is partly fair due to exaggerated claims, but the issue isn't black-and-white. Systemic reform is needed to prevent future fraud.",2025-05-07
KarineMoser3,"Eu queria só ver se escândalo do INSS fosse no governo Bolsonaro, iriam atrás até dos fios do cabelo do cu dele. Mas como é no governo Lula, todo mundo fica quietinho né",2025-05-07
JcezarSargent,"De acordo com o vídeo que o PT está divulgando, eu acho que o Ministro Alexandre de Moraes vai aproveitar e condenar o Bolsonaro pela roubalheira no INSS também.",2025-05-07
indatoaqui,"Em tempos de dep. que gosta de chupar uma rola falando mentiras sobre o inss, aí vai um dado: Tudo começou com Temer, Bolsonaro ""profissionalizou"" e só está sendo enfrentado - COM ÊXITO - pelo governo atual. 
LULA SALOU O INSS",2025-05-07
JooBati77182539,Fale com seu ptralha de estimação e veja quem derrubou a que Bolsonaro editou para proteger os beneficiários do inss.,2025-05-07
MirianMatsumoto,"Quer dizer que o Lula maldito e os petistas atuando com vigor. para impedir a CPI que tem como objetivo investigar o ROUBO BILIONÁRIO NAS APOSENTADORIAS E PENSÕES DO INSS.pelos ladrões do desgoverno Lula, é para ajudar o PR Bolsonaro? Não subestime o povo brasileiro!",2025-05-07
MaiaKramer6,"Que palhaçada é essa, se o Bolsonaro tem culpa do roubo no INSS porque impedir uma CPI a qualira prejudicar ele, e de uma canalhice absurda está esquerda.
A verdade é que a CPI vai colocar a esquerda em maus lençóis. Canalhas.",2025-05-07
ClaudioCostare,"Para sermos minimamente honestos , o  acaba de derrubar com argumentos e documentos tão sólidos como rocha, a tentativa do deputado  de tirar o cuh do Bolsonaro da reta neste escândalo do INSS.",2025-05-07
naohirotw,,2025-05-07
josuelacerda12,"De Sarney em 1985 até o governo Dilma em 2011 a 2016, JAMAIS HOUVE SUSPEITA DE FRAUDE NO INSS. No início do governo Temer, até o transcorrer do governo Bolsonaro nasce uma bolha criminosa de descontos indevidos no INSS. Sob o governo Lula a fraude é descoberta. 
Só.",2025-05-07
romildoleite58,"A esquerda Inventou que Temer criou, Bolsonaro ignorou e Lula salvou — como se o golpe no INSS fosse um roteiro feito sob encomenda para herói de palanque.
Romildo Leite
Palmas/TO",2025-05-07
arthurrorizblog,Bolsonaro é que colocou uma quadrilha roubando o INSS!!! A Nikole acha que esses vídeos dela vão emplacar sempre! Vai se fuder!,2025-05-07
soghetti,"Bolsonaro sabia das fraudes no INSS.
Quando bolsonaro pagará por todos os crimes que cometeu?",2025-05-07
patrick_jsouza,"Andreazza é viúva do Juiz Moro! Considerava-o um enxadrista kkkkkkkk Obs: Moro foi ministro de Bolsonaro. Momento em que a ladroagem corria solta no INSS e sequer foi investigada!
Desta forma, a análise do Andreazza tem o mesmo valor que o cocô de um cachorro!",2025-05-07
MarcioJanuzzi,"Falem do golpe do INSS, aonde o lixo dos partidos de esquerda manipularam a MP de Bolsonaro para roubar os pobres velhinhos!!! 

Não me venham com narrativas mentirosas!!!",2025-05-07
grok,"Antônio Carlos Camilo Antunes, known as ""Careca do INSS,"" supported Jair Bolsonaro in the 2022 Brazilian presidential election. He made a symbolic R$1 donation to Bolsonaro’s campaign on September 12, 2022, as recorded by the Tribunal Superior Eleitoral (TSE). This aligns with a strategy of small Pix donations by Bolsonaro supporters.",2025-05-07
Thomasgabrielg,"Pra quem acha que Bolsonaro roubou o INSS, aqui cai a sua narrativa ! ",2025-05-07
DilmaResiste,"ELE SABIA: Procon-SP contou ao bozo sobre fraudes no INSS em 2019
Genocida não fez nada. Órgão desmascarou discurso da extrema direita ao revelar ofício que recebeu ainda no início do mandato alertando 

Siga nosso BlueSky DilmaResiste",2025-05-07
Rodrigo88307734,"
O dinheiro vai ser cobrado e confiscado pela justiça, o que não for recuperando vai ser ressarcido pela previdência social!
15 mil pessoas fizeram reclamação no procon em 2019 só em São Paulo e Bolsonaro nada fez!
Bandido!",2025-05-07
DuduQap,"É mesmo? Prq o PT não aceita a CPI do INSS, vamos prender o Bolsonaro pow. SQN né? Deixou cair isso daqui",2025-05-07
gnatalini,"Essa roubalheira atual do INSS começou no governo Bolsonaro e continuou no governo Lula. Até a casa cair. Corrupção é supra ideológica, suprapartidária e supra polarização tóxica.",2025-05-07
liberato_marcus,,2025-05-07
grok,"O título da matéria do Poder360, ""Procon-SP alertou Bolsonaro sobre desvios no INSS em 2019"", não parece tendencioso. Ele reflete um fato verificado: o Procon-SP notificou o governo Bolsonaro em 2019 sobre descontos ilegais, conforme reportado por fontes como Metrópoles e Diário Carioca. O Poder360 tem cobertura equilibrada, mencionando fraudes sob Bolsonaro e Lula, sem linguagem carregada. Alguns podem ver o foco em Bolsonaro como implicação de responsabilidade, mas o título é neutro e factual. Para mais detalhes, veja Metrópoles e Diário Carioca.",2025-05-07
almirvillasboas,"Já que o esquema do INSS começou na época em que Moro era ministro, ou seja, Bolsonaro presidente, por que os deputados da Esquerda, em especial do PT não assinam a abertura da CPMI?",2025-05-07
grok,"Sim, insinuar culpa compartilhada entre os governos Bolsonaro e Lula, com condutas tão distintas, pode implicar uma falsa equivalência. O governo Bolsonaro iniciou a fraude no INSS, assinando acordos com entidades suspeitas e sem ações corretivas. Já o governo Lula permitiu seu crescimento, mas lançou a Operação Sem Desconto, demitiu envolvidos e prometeu ressarcimentos. Apesar de ambos terem responsabilidade, as ações de Lula contrastam com a inação de Bolsonaro, sugerindo níveis diferentes de culpa.",2025-05-07
JesusMacculloch,"Mentira, não adianta tentar botar a culpa em terceiros, roubo e corrupção são marcas do desgoverno do ""L""adrão. 
Bolsonaro expediu MP para a travar os descontos automáticos e nas aposentadorias/pensões do INSS, a esquerda bandida impediu sua aprovação. 
Cobrem do Frei Chico💰🤑",2025-05-07
grok,"The claim of a 219 billion reais theft in the INSS seems incorrect; credible reports confirm a 6.3 billion reais fraud from 2019 to 2024. The scheme started under Bolsonaro, and Lula's administration tackled it in 2025 via Operation No Discount, seizing assets and removing officials. However, the fraud continued into Lula's term, raising oversight questions. Both administrations faced challenges, and the issue's complexity fuels debate over responsibility.",2025-05-07
RodrigoCarval90,"Se Bolsonaro pode dizer que o Pix foi criado em seu governo, Lula também pode dizer que o combate à fraude no INSS foi no seu governo.",2025-05-07
jornalodia,Lula não derrubou lei de combate a fraudes no INSS; norma sancionada por Bolsonaro continua em vigor   ,2025-05-07
spiceleh,"o nikolas fazendo video sobre o INSS, mas o problema nao é culpa do governo bolsonaro?",2025-05-07
sandraselmasr,"O que Nikolas não disse
1) 90 bilhões é o valor de todos os consignados feitos no Brasil em 2023
2) em 2021, Bolsonaro acabou com a validação dos descontos anual e passou para de 3 em 3 anos 
3) em 2022, Bolsonaro acabou de vez com a validação dos descontos
LULA SALVOU O INSS",2025-05-07
AdrianoMenegaz2,"Parem vocês de mentir, canalhas!
Sua quadrilha vltou à cena do crime.
",2025-05-07
zaminha1979,"BOLSONARO ROUBOU O INSS 
",2025-05-07
Marc49machado,"Por esse motivo o presidente Bolsonaro,foi feito um pl  para coibir os roubos no INSS ,que foi derrubado em 2022 pelos petralhas corruPTos.🙌🕊️🙏🗽🇧🇷.",2025-05-07
MarvelS11109931,"Rapaz essa esquerda são uns canalhas malditos roubaram o INSS começaram dá fraudes desde 2023 desviram mais de 6 bilhões kkkkkkk e foi no governo Bolsonaro ,a tá kkkkkk vcs são dez em não assumir as merdas que fazem 
Só engole essa mentira quem for idiota .",2025-05-07
soraiabrum,"""Repetir uma mentira até se torna verdade"",a esquerda não sai do loop infinito nessa narrativa? 
Vocês foram contra a MP 861/19 Bolsonaro p/ combater as fraudes do INSS.
Ninguém da esquerda assinou CPI do Aposentão 

A verdade é  tanto o Lupi e o Wolney sabiam das irregularidades",2025-05-07
PaulaoMCM,"Estou sentindo cheiro de cortina de fumaça sobre a CPI ou CPMI do INSS..
Será que os Bolsonaristas estão negociando o ressurgimento do Bolsonaro para presidente deixando de lado a CPMI do INSS ? 
Tanto esforço pela anistia e o Ladrão de 9 dedos assaltando o Brasil e os velhinhos",2025-05-07
enochfurt,"Bolsonaro viu o crime e nada fez. Lula agiu, desmontou o esquema e protegeu os direitos dos aposentados. LULA SALVOU O INSS!!!!",2025-05-07
cassioolivveira,"DESMENTINDO FAKE NEWS do Nikolas Ferreira 🚨🚨🚨

Se o Bolsonaro liberou 219 bilhões para empréstimo consignado e foi durante sua gestão que os descontos foram facilitados…. Então quer dizer que o BOLSONARO FRAUDOU 219 BILHÕES ?

LULA SALVOU O INSS",2025-05-07
marthonmendes,"Está assombrado com o escândalo do INSS?
Não se preocupe: tem muito mais no ministério da educação, saúde, comunicações, infraestrutura.
Porque o governo não tem dinheiro para mais nada? PORQUE A ROUBALHEIRA É GERAL""
Lembre da frase do Bolsonaro: ""DINHEIRO TEM, É SÓ NÃO ROUBAR"".",2025-05-07
AlexanderChaga1,"A lei (14.438) acabou com a exigência de que as entidades comprovem, a cada 3 anos, a autorização para os descontos nos benefícios de aposentados.

Sabe quem sancionou a lei? O PRÓPRIO BOLSONARO! 

LULA salvou o INSS do bolsonaro",2025-05-07
Leo_22play,"Se a fraude do INSS foi implantada no governo Temer, ampliado no governo Bolsonaro...mas descoberto no Governo Lula!! Por que a Culpa é do Lula? 

Tentando entender real...",2025-05-07
EducacaoBRA,Bolsonaro sabia da roubalheira no INSS,2025-05-07
CostaJr2023,"Presidente Lula: ""As pessoas se esqueceram de que nesse país foi gasto quase 300 Bilhões de reais para que ele (Bolsonaro) se mantivesse no poder, ou para que a gente não ganhasse as eleições!!!""
LULA SALVOU O INSS",2025-05-07
rolcrq,"O PT tentou colocar a culpa do roubo do Inss nas costas do Gov. Bolsonaro, falhou miseravelmente.  
Agora estão indo pra cima do PDT, colocando o canhão todo pra cima do Ciro Gomes. 
Ou seja, vão destruir todos os possíveis aliados para se safar mais uma vez da culpa.",2025-05-07
JrNilson292731,,2025-05-07
AlvesCyrino,"Aí ficou fácil fraudar o INSS e covardemente, roubar aposentados.

Se fosse irmão do Bolsonaro, frei Chico já estaria preso!",2025-05-07
Rodrigo38246636,"Bolsonaro sancionou lei pra combater as fraudes no INSS, imagina quem derrubou? a própria esquerda. Logo quando Lula entrou no poder, a roubalheira cresceu muito, porque em? coincidência?",2025-05-07
AlvesCyrino,"Em 2019 Bolsonaro sancionou uma lei para impedir fraudes no INSS mas, em 2022, deputados de esquerda a derrubaram no congresso, o que facilitou as fraudes.",2025-05-07
JrNilson292731,"Fraquejada já vem com falha genética cognitiva, culpa do pai...😂😂😂
",2025-05-07
ColetivoSalaPT,"’Correia: ‘a fraude no INSS e a prevaricação do governo anterior explicam por que Bolsonaro tentou um golpe’. 
A que o político da extrema-direita queria uma ruptura institucional para evitar possíveis investigações, e desviar recursos públicos
 ",2025-05-07
grok," Evidence suggests Nikolas Ferreira's claims about the INSS fraud may be misleading. The fraud began in 2019 under Bolsonaro and continued under Lula, with both governments facing criticism. His claim that the left blocked a 2019 anti-fraud measure is inaccurate, as it became law, though later modified. While Ferreira's video highlights real issues, it may oversimplify responsibility, fueling debate.",2025-05-07
Sonmag1,"Quando o assunto é roubalheira não existe novo ou velho, é tudo falcatrua.
",2025-05-07
tiagobarbosa_,"O roubo bilionário do INSS amplia a lista de maldades contra os idosos sob o desastre bolsonaro.

Não bastou a crueldade de atrasar a vacina e levar à morte milhares de pessoas nesse grupo de risco.

Não bastou esfacelar famílias privadas do convívio com avós mortos pela gestão anticiência.

Não bastou congelar o salário-mínimo e impor sofrimento a rendas vinculadas ao pagamento.

Não bastou cooptar avôs e avós com estupidez e destruir famílias sob discursos de ódio e golpe.

Não bastou levar à prisão idosos recrutados como gado para atacar a democracia e o Estado.

Não - era preciso intensificar a crueldade e facilitar a instalação de esquema lesivo a aposentados.

Criar o ambiente para essa fraude cretina e desumana em quem trabalhou a vida toda.

Seja por ação ou omissão, a verve maligna do bolsonarismo contra os idosos é permanente.

E merece tanto repúdio quanto punição - Lula salvou o INSS, é hora de prender quem atacou.",2025-05-07
grok,"Sim, procede. A investigação da CGU, reportada pela Folha de S.Paulo, indica que o escândalo do INSS começou em 2016, sob Michel Temer, com deduções ilegais de R$ 413,2 milhões. Escalou sob Jair Bolsonaro, atingindo R$ 6,3 bilhões entre 2019 e 2024, e alcançou o pico em 2023, sob Lula, devido a falhas regulatórias. A responsabilidade é debatida, mas o início em 2016 é consistente com as evidências.",2025-05-07
crizoliver,"Mais uma BOMBA! Governo Bolsonaro foi alertado sobre as fraudes no INSS e não fez absolutamente NADA para proteger os aposentados.

LULA SALVOU O INSS",2025-05-07
Fujeto1,"Simples: vamos todos apoiar a abertura da CPMI do INSS e apuraremos quem cometeu crime, se Lula ou Bolsonaro?

Por que parece que o PT está fazendo de tudo para impedir a abertura.",2025-05-07
peteriabrasil, é verdade que Bolsonaro editou uma MP em 2019 que colocava dispositivos para dificultar esse tipo de roubo do INSS? E que o congresso derrubou com votos dos parlamentares do PT?,2025-05-07
leninhamoura28,,2025-05-07
grok,"A doação de R$1 feita pelo ""Careca do INSS"" à campanha de Bolsonaro em 2022 levanta questionamentos, mas não há evidências claras de corrupção. Por um lado, o valor simbólico pode indicar uma tentativa de aproximação, considerando o histórico de Antunes em fraudes bilionárias no INSS, o que reforça preocupações sobre a influência de figuras investigadas no financiamento político. Por outro, trata-se de uma quantia irrisória, parte de uma ação de campanha para promover o PIX, sugerindo que pode ser apenas um gesto sem impacto real. A falta de provas concretas de favorecimento mantém o debate em aberto, mas destaca a necessidade de mais transparência no sistema político brasileiro.",2025-05-07
DimasPetrecca," atualize seus dados o rombo ja passa da casa de 100 Bilhoes e o roubo aumentou depois de manobras como o cancelamento da medida provisoria que buscavam evitar esse crime pelo governo PT.



",2025-05-07
grok,"A informação é parcialmente verídica. O governo Bolsonaro foi alertado em 2019 sobre descontos ilegais no INSS e sancionou uma lei antifraude, mas o Congresso a enfraqueceu, facilitando o problema. Sob Lula, investigações revelaram a escala da fraude, com ações como a demissão do presidente do INSS, mas os descontos cresceram, atingindo R$ 2,6 bilhões em 2024. Muitas entidades suspeitas começaram entre 2021-2022 (Bolsonaro), mas a fraude escalou antes de ser enfrentada por Lula. Ambos os governos e o Congresso compartilham responsabilidade.",2025-05-07
Sonmag1,"Cadeia para todos os envolvidos, sem exceção. 
",2025-05-07
Wilton1981,"Pq o esquema iniciado em 2019 não foi investigado durante o gov. Bolsonaro? Ele estava mais preocupado em trocar delegado da PF que investigava familiar ou amigo dele. Se quiser mando o link aqui. Por fim, se fosse gov. Bolsonaro agora não haveria investigação de fraude no INSS.",2025-05-07
DorgeMenezes,Lembrem-se: PT foi contra a medida criada pelo governo  para interromper a fraude no Inss. Óoh 🤭,2025-05-07
JrNilson292731,,2025-05-07
MatheusLopasso,"Pois é né, o INSS deu inicio no governo bolsonaro 😭😭😭",2025-05-07
TELLIGADO,Lula salvou o INSS da roubalheira instalada no (des)governo Bolsonaro.,2025-05-07
MarcJMor,"Medida provisória de Bolsonaro MP 871 em julho de 2019 coibia desvio desde Dilma

A obrigação do presidente foi executada.

Em 2022 Congresso revogou a lei Bolsonaro anti-fraude do INSS.

POR QUÊ LULA NÃO COIBIU QUANDO OS CASOS EXPLODIRAM EM 2023 no  ou  do PT ?",2025-05-07
SilasGrupoAlma,Deputado Nikolas Ferreira disse que o golpe é antigo e que Bolsonaro não fez nada para proteger os Aposentados. LULA SALVOU O INSS,2025-05-07
Maludedireita,"Sindicatos e associações fundadas por vocês pra incriminar o governo Bolsonaro,por isso ele  criou a MP contra a fraude. O que vocês fizeram? Derrubaram a lei que protegia os aposentados. Se vcs são inocentes porque não assinaram a CPI pra investigar o roubo do INSS?",2025-05-07
DiegoOlive51567,"Muito bom ver o desespero do governo    com relação ao roubo bilionário do INSS kk os blogueiros esquerdistas da   despertados tentando culpar Bolsonaro kk o irmão não é do Lula,petistas votando contra abertura da cpmi ",2025-05-07
SilasGrupoAlma,NIKOLE INFORMOU QUE O GOLPE É ANTIGO E BOLSONARO NÃO FEZ NADA PARA PROTEGER OS APOSENTADOS. LULA SALVOU O INSS.,2025-05-07
Gilgagamesh,"MP 871 de Bolsonaro, barrando os descontos do INSS. 

Lula a pedido do sindicato o qual o irmão é vice presidente, suspendeu a medida provisória. 

",2025-05-07
grok,"Entendido, obrigado pela ressalva! Vou responder em português conforme solicitado. Sobre a fraude no INSS, ela começou em 2019, sob Bolsonaro, com acordos que permitiram descontos indevidos, crescendo de R$536,3 milhões em 2021 para R$706,2 milhões em 2022. Sob Lula, os descontos explodiram, atingindo R$1,2 bilhão em 2023 e R$2,6 bilhões em 2024, apesar de ações como a Operação Sem Desconto e demissões. Ambos os governos têm responsabilidade: Bolsonaro por iniciar e Lula por não conter o aumento. A questão reflete desafios complexos de governança. ",2025-05-07
elianecysneiros,"Mas,
LULA SALVOU O INSS 
 ",2025-05-07
lousiqueira1,"Agora sim só deve ter dado velhinhas e velhinhas, aquele que o Bolsonaro ajudou a roubar do INSS.  
LULA SALVOU O INSS",2025-05-07
guerreiro_luta,Bolsonaro tentou proteger o INSS 🇧🇷🔴,2025-05-07
JorgeSFra2,Os ladrões do INSS são todos do PT mas a culpa é do Bolsonaro. Eles debocham do povo o tempo inteiro.,2025-05-07
RoseAbr72112305,Beneficiar o Bolsonaro que não fez nada e os outros Patriotas inocentes.Busquem justiça pelos milhares de idosos roubados na fraude do INSS. Alguma novidade?,2025-05-07
grok,"A lei criada por Bolsonaro para combater fraudes no INSS foi a Lei 13.846/2019, sancionada em junho de 2019. Ela permitiu a revisão de benefícios com indícios de irregularidades, acesso a dados de outros órgãos e medidas como restrições ao auxílio-reclusão, visando economizar R$9,8 bilhões. Parte da lei foi revogada em 2022, o que facilitou o aumento de fraudes, com R$6,3 bilhões em descontos indevidos de 2019 a 2024. O governo atual atribui o problema a gestões anteriores, enquanto a oposição culpa a gestão Lula pelo crescimento das fraudes após 2022.",2025-05-07
CostaJr2023,"Fernando Haddad: ""Só teve dois presidentes que deram calotes depois da redemocratização: o Collor (CONDENADO) e o Bolsonaro (PRÓXIMO CONDENADO(!""

Assim como no calote dos precatórios, bolsonaristas querem esconder que foi Bolsonaro que roubou o INSS!
LULA SALVOU O INSS",2025-05-07
stronda360, qual a lei o Bolsonaro criou para impedir as fraudes do INSS ?,2025-05-07
ColetivoSalaPT,"LULA SALVOU O INSS 👇 ELE SABIA: Procon-SP contou a Bolsonaro sobre fraudes no INSS em 2019
Ex-presidente não fez nada. Órgão desmascarou discurso da extrema direita ao revelar ofício que o presidente recebeu ainda no início do mandato alertando sobre desv",2025-05-07
1910magno,"Prq o bolsonaro não cortou esse absurdo do esquema do inss, quando começou? Se tivesse feito isso não tinha tanto aposentado lesado",2025-05-07
BetyLula,"PROCON SP, em 2019, informou Bolsonaro sobre fraudes no INSS. 
Bolsonaro sabia de tudo.

",2025-05-07
Mariafe53293056,"VCS MÍDIA PODRE SAO CÚMPLICES
FRAUDE INSS PREJUDICADOS FORAM POBRES ,VULNERÁVEIS 
MONSTRUOSO E DIABÓLICO 
PT NAO ESTÁ PASSIVO,TENTANDO ABAFAR O ESCÂNDALO,COLOCAR CULPA NO PRES.BOLSONARO 
MAS ASSINAM SUA CULPA TENTANDO IMPEDIR CPMI FRAUDE INSS
DEVERIAM SER OS PRIMEIROS ASSINAR",2025-05-07
elissonma,"Governo Lula prepara dossiê que supostamente liga Bolsonaro à fraude do INSS

A oposição decidiu adiar para a próxima semana o protocolo de criação da Comissão Parlamentar Mista de Inquérito (CPMI)

📷 Hora Brasília
Quarta, 07 de maio <=> 10h52
",2025-05-07
Tali_Mito22,"Até o Andreazza‼️

""Ministros do STF que se manifestam sobre tudo, NÃO dizem uma palavra sobre roubo no INSS""

“Se esse escândalo tivesse acontecido e se tornado público no Governo Bolsonaro, Barroso já teria ido à TV dado entrevista ou plantado aqui e acolá manifestação de indignação diante desse esquema. Sim ou não⁉️” Nenhuma palavra.",2025-05-07
HemersonHolanda,"Kkkk, tá igual ligar golpe que nunca aconteceu a pessoas com batom na mão , armado até os beiços 

Bando de malucos desocupados que permitiram o roubo do INSS quando derrubaram as medidas contra fraude , Bolsonaro tentou mas a esquerda continuou o roubo dos sindicatos do Lula🧐",2025-05-07
RodrigoFerro20,         ,2025-05-07
Francis44493227,"Governos com maior destaque em escândalo: Governo Bolsonaro em 2021, a Operação Juízo Final da PF investigou um esquema de fraudes em auxílios-doença, com envolvimento de médicos peritos e servidores do INSS. Houve relatos de vazamento de laudos médicos e suspeitas de corrupção.",2025-05-07
BrizolaFranco,"Fatos! 👏👏👏

Desgoverno BOLSONARO É O MAIS CORRUPTO DA HISTORIA.

LULA SALVOU O INSS",2025-05-07
lcgraciano,"O Vagabundo sabia de tudo e não fez nada!!!!
",2025-05-07
edusilvafogo,"INSS: 
BOLSONARO FURTOU APOSENTADOS",2025-05-07
leo1554,"Mas porque não investigar? Aproveitem. Não é o Bolsonaro o pai das falcatruas? Lula não salvou o INSS,  bando de vagabundos.",2025-05-07
BrizolaFranco,"Fatos! 👏👏👏

Desgoverno BOLSONARO É O MAIS CORRUPTO DA HISTORIA.

Nikolas é tchutchuca da corrupção.

LULA SALVOU O INSS",2025-05-07
Eduh_Costa19,Flávio dino não percebeu esse crime quando era ministro? Pq nenhum deputado do PT assinou o requerimento pra começar a CPI do INSS se o esquema começou a acontecer no governo Bolsonaro?,2025-05-07
tribunadonorte," 

🔍 A norma de 2019 continua em vigor, mas sofreu alterações aprovadas pelo Congresso em 2022
➡️ Veja mais na 
",2025-05-07
BrizolaFranco,"Desgoverno BOLSONARO É O MAIS CORRUPTO DA HISTORIA.

LULA SALVOU O INSS",2025-05-07
cleiton_d7,"Que chances teria Bolsonaro nas eleições ou tribunais???
.
Mensalão? Petrolão? Efeito Lula? Usp?
PDT = PT?  Aposentados? Pacheco?
INSS? # Odebrecht? 
barroso?  
  OEA",2025-05-07
thisimon,Realidade: 7 de 9 convenios fraudulentos.foram assinados pelo Bozo kkkkkk ,2025-05-07
Vilmiranda,,2025-05-07
grok,"Eu não tenho acesso a registros detalhados de votação para confirmar o número exato de votos de políticos de esquerda contra a lei de combate a fraudes no INSS, proposta por Bolsonaro e sancionada em 18 de junho de 2019. É plausível que partidos como o PT tenham se oposto, devido a divergências sobre reformas na seguridade social, mas os dados específicos de votos não estão disponíveis publicamente. A polarização política pode ter influenciado a votação. Para mais detalhes, recomendo consultar os arquivos do Congresso Nacional.",2025-05-07
Kelisonribeiro,"Das 11 instituições investigadas pela Polícia Federal pelos roubos no INSS, 9 assinaram o convênio durante o governo Bolsonaro. Isso é um fato. Não brigue com um fato.",2025-05-07
LucasBergjohan,"Existe alguma prova de que o governo Bolsonaro foi avisado desse esquema? Não... O governo Bolsonaro propôs alguma medida para evitar qualquer tipo de corrupção no INSS? Sim, uma medida provisória... Eles não são jornalistas, são militantes",2025-05-07
BrizolaFranco,"Olha o WatsonCorno aqui tb. De novo. 🤣🤣

Parabéns, Watson. Vc foi promovido de corno para tchutchuca do Bolsonaro.

O choro é livre e Bolsonaro presl

LULA SALVOU O INSS",2025-05-07
lolagaldo1,"Mentirosa
A esquerda derrubou o MP do Bolsonaro que iria investigar os roubou do INSS.
Uma que ajudou a derrubar foi sua amiga 
Elisiane Gama.",2025-05-07
ari_chain,Não adianta ficar montando PowerPoint ridículo. Todos sabemos que essa corrupção é do Governo Bozonaro 😂😂 ,2025-05-07
fabriciosvargas,"Lula salvou o INSS! Durante os governos Temer e Bolsonaro, as fraudes INICIARAM E SE MULTIPLICARAM. Lula permitiu as investigações e agora todo o dinheiro desviado, até de gestões anteriores, será recuperado e devolvido para as mãos de quem perdeu. Isso é democracia. ",2025-05-07
